"package"	"first_published"	"naming_convention"	"author_count"	"is_orphaned"	"public_repository"	"has_tests"	"is_versioned"	"specifies_r_version"	"is_roxygenised"	"copyright_license"
"asd"	2012	"Lower Case"	1	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-3"
"ash"	1999	"Lower Case"	1	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"ASMap"	2014	"Mixed Case"	2	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"aspace"	2006	"Lower Case"	3	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"ASPBay"	2014	"Mixed Case"	1	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"aspect"	2009	"Lower Case"	2	FALSE	"RForge"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"assertive"	2012	"Lower Case"	1	FALSE	"None"	"testthat"	FALSE	TRUE	TRUE	"Unlimited"
"assertr"	2015	"Lower Case"	1	FALSE	"GitHub"	"testthat"	TRUE	FALSE	TRUE	"MIT"
"assertthat"	2013	"Lower Case"	1	FALSE	"None"	"testthat"	FALSE	FALSE	FALSE	"GPL-3"
"AssetPricing"	2012	"Mixed Case"	1	FALSE	"Other"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"assist"	2004	"Lower Case"	2	FALSE	"Other"	"None/Other"	TRUE	TRUE	FALSE	"GPL-2"
"AssotesteR"	2012	"Mixed Case"	1	FALSE	"Other"	"None/Other"	FALSE	FALSE	FALSE	"GPL"
"aster"	2005	"Lower Case"	1	FALSE	"Other"	"None/Other"	FALSE	TRUE	FALSE	"MIT"
"aster2"	2010	"Lower Case"	1	FALSE	"Other"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"astro"	2013	"Lower Case"	1	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"astrochron"	2014	"Lower Case"	1	FALSE	"None"	"None/Other"	TRUE	FALSE	FALSE	"GPL-3"
"astrodatR"	2014	"Mixed Case"	1	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"astroFns"	2012	"Mixed Case"	1	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"astrolibR"	2014	"Mixed Case"	2	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"astsa"	2012	"Lower Case"	1	FALSE	"Other"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"asympTest"	2008	"Mixed Case"	1	FALSE	"Other"	"None/Other"	TRUE	TRUE	FALSE	"GPL-2"
